avgTemp,minTemp,naxTemp,rainFall,-1dayPrice,avgPrice
5.6,0.5,11.4,0.1,2580,2600
3.8,-0.8,9.8,0.5,2640,2580
3.8,-1.2,10.6,0.5,2560,2640
4.4,-0.6,8.7,4.0,2520,2560
5.3,1.0,10.7,0.5,2520,2520
4.2,-1.1,9.6,2.1,2520,2520
7.2,4.0,11.9,2.2,2520,2520
4.4,-0.3,8.0,0.4,2450,2520
0.6,-2.7,4.8,0.0,2450,2450
-1.5,-5.8,2.9,0.1,2430,2450
0.9,-3.3,5.8,0.2,2270,2430
-1.9,-5.6,3.0,0.4,2320,2270
-4.7,-7.6,-1.5,0.8,2320,2320
-4.5,-10.3,1.8,1.5,2320,2320
-2.8,-8.4,4.4,2.0,2270,2320
-1.4,-7.5,5.9,0.1,2270,2270
0.7,-4.2,6.0,0.0,2270,2270
0.3,-4.7,6.8,1.2,2270,2270
-1.6,-5.2,1.6,3.3,2480,2270
-2.5,-7.9,2.0,0.7,2480,2480
-3.4,-6.7,0.3,0.8,2480,2480
-5.6,-9.6,-0.9,2.0,2500,2480
-4.5,-9.7,1.6,0.7,2540,2500
-3.5,-9.4,3.4,0.0,2540,2540
-0.7,-9.0,6.9,1.0,2500,2540
1.7,-3.5,6.7,1.3,2500,2500
0.8,-7.0,8.5,0.0,2500,2500
3.6,1.2,6.2,4.1,2500,2500
-0.8,-5.3,3.6,1.3,2500,2500
-2.6,-8.3,3.8,3.0,2500,2500
-1.0,-5.1,4.3,0.0,2500,2500
-0.6,-7.2,6.2,0.0,2480,2500
1.9,-3.9,8.6,0.0,2480,2480
4.2,-1.9,10.0,2.1,2480,2480
4.4,2.0,7.7,1.7,2480,2480
0.9,-2.5,4.7,5.1,2440,2480
0.2,-4.5,6.4,0.0,2400,2440
1.0,-3.5,5.4,0.4,2400,2400
-2.0,-5.0,1.4,0.6,2400,2400
-3.9,-6.6,-0.4,3.2,2400,2400
-2.7,-7.3,1.8,1.1,2400,2400
-0.6,-5.9,5.4,0.6,2400,2400
1.1,-5.9,7.4,0.4,2440,2400
1.7,-3.3,7.6,0.4,2460,2440
2.4,-5.1,11.0,0.0,2460,2460
7.2,-2.7,14.3,1.8,2460,2460
5.8,-0.8,12.1,1.8,2460,2460
0.1,-4.3,5.1,5.0,2460,2460
3.6,-4.9,10.0,1.9,2460,2460
3.2,-2.8,9.9,5.4,2680,2460
0.9,-5.9,8.1,0.0,2680,2680
3.8,0.4,6.2,17.5,2700,2680
1.6,-1.8,5.1,1.7,2640,2700
0.7,-4.4,6.0,0.2,2720,2640
3.1,-2.7,9.2,0.0,2720,2720
3.3,-2.0,9.8,0.5,2720,2720
